,c0,c2,c4,c7,c8,c9,c10,c11,c13,c14,c15,c16,c17,c20,c21,c22,c29,c32,c36,ymd,next_month_day1,next_month_day2,filename,dt_rank_neg
24784,0,700010000,半切,6.0,1.0,枚,1.0,120.0,1.0,0.0,0.0,1.0,120.0,0.0,0.0,0.0,,0.0,フィルム・半切,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24785,0,700020000,半切（２分割）,6.0,1.0,枚,1.0,120.0,1.0,0.0,0.0,1.0,120.0,0.0,0.0,0.0,,0.0,フィルム・半切（２分割）,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24786,0,700030000,大角,6.0,1.0,枚,1.0,115.0,1.0,0.0,0.0,1.0,115.0,0.0,0.0,0.0,,0.0,フィルム・大角,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24787,0,700040000,大角（２分割）,6.0,1.0,枚,1.0,115.0,1.0,0.0,0.0,1.0,115.0,0.0,0.0,0.0,,0.0,フィルム・大角（２分割）,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24788,0,700050000,大四ツ切,6.0,1.0,枚,1.0,76.0,1.0,0.0,0.0,1.0,76.0,0.0,0.0,0.0,,0.0,フィルム・大四ツ切,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24789,0,700060000,大四ツ切（２分割）,6.0,1.0,枚,1.0,76.0,1.0,0.0,0.0,1.0,76.0,0.0,0.0,0.0,,0.0,フィルム・大四ツ切（２分割）,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24790,0,700070000,大四ツ切（４分割）,6.0,1.0,枚,1.0,76.0,1.0,0.0,0.0,1.0,76.0,0.0,0.0,0.0,,0.0,フィルム・大四ツ切（４分割）,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24791,0,700080000,四ツ切,6.0,1.0,枚,1.0,62.0,1.0,0.0,0.0,1.0,62.0,0.0,0.0,0.0,,0.0,フィルム・四ツ切,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24792,0,700090000,四ツ切（２分割）,6.0,1.0,枚,1.0,62.0,1.0,0.0,0.0,1.0,62.0,0.0,0.0,0.0,,0.0,フィルム・四ツ切（２分割）,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24793,0,700100000,四ツ切（４分割）,6.0,1.0,枚,1.0,62.0,1.0,0.0,0.0,1.0,62.0,0.0,0.0,0.0,,0.0,フィルム・四ツ切（４分割）,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24794,0,700110000,六ツ切,6.0,1.0,枚,1.0,48.0,1.0,0.0,0.0,1.0,48.0,0.0,0.0,0.0,,0.0,フィルム・六ツ切,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24795,0,700120000,六ツ切（２分割）,6.0,1.0,枚,1.0,48.0,1.0,0.0,0.0,1.0,48.0,0.0,0.0,0.0,,0.0,フィルム・六ツ切（２分割）,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24796,0,700130000,六ツ切（４分割）,6.0,1.0,枚,1.0,48.0,1.0,0.0,0.0,1.0,48.0,0.0,0.0,0.0,,0.0,フィルム・六ツ切（４分割）,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24797,0,700140000,八ツ切,6.0,1.0,枚,1.0,46.0,1.0,0.0,0.0,1.0,46.0,0.0,0.0,0.0,,0.0,フィルム・八ツ切,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24798,0,700150000,八ツ切（２分割）,6.0,1.0,枚,1.0,46.0,1.0,0.0,0.0,1.0,46.0,0.0,0.0,0.0,,0.0,フィルム・八ツ切（２分割）,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24799,0,700160000,カビネ,6.0,1.0,枚,1.0,38.0,1.0,0.0,0.0,1.0,38.0,0.0,0.0,0.0,,0.0,フィルム・カビネ,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24800,0,700180000,標準型（３×４）,6.0,1.0,枚,1.0,29.0,1.0,0.0,0.0,1.0,29.0,0.0,0.0,0.0,,0.0,フィルム・標準型（３ｃｍ×４ｃｍ）,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24801,0,700190000,咬合型（５．７×７．６、５．５×７．５又は５．４×７）,6.0,1.0,枚,1.0,27.0,1.0,0.0,0.0,1.0,27.0,0.0,0.0,0.0,,0.0,フィルム・咬合型（５．７ｃｍ×７．６ｃｍ、５．５ｃｍ×７．５ｃｍ又は５．４ｃｍ×７ｃｍ）,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24802,0,700200000,咬翼型（４．１×３又は２．１×３．５）,6.0,1.0,枚,1.0,40.0,1.0,0.0,0.0,1.0,40.0,0.0,0.0,0.0,,0.0,フィルム・咬翼型（４．１ｃｍ×３ｃｍ又は２．１ｃｍ×３．５ｃｍ）,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24803,0,700210000,オルソパントモ型（２０．３×３０．５）,6.0,1.0,枚,1.0,103.0,1.0,0.0,0.0,1.0,103.0,0.0,0.0,0.0,,0.0,フィルム・オルソパントモ型・２０．３ｃｍ×３０．５ｃｍ,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24804,0,700220000,オルソパントモ型（１５×３０）,6.0,1.0,枚,1.0,120.0,1.0,0.0,0.0,1.0,120.0,0.0,0.0,0.0,,0.0,フィルム・オルソパントモ型・１５ｃｍ×３０ｃｍ,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24805,0,700230000,小児型（２．２×３．５）,6.0,1.0,枚,1.0,31.0,1.0,0.0,0.0,1.0,31.0,0.0,0.0,0.0,,0.0,フィルム・小児型・２．２ｃｍ×３．５ｃｍ,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24806,0,700240000,間接撮影用フィルム（１０×１０）,6.0,1.0,枚,1.0,29.0,1.0,0.0,0.0,1.0,29.0,0.0,0.0,0.0,,0.0,フィルム・間接撮影用フィルム・１０ｃｍ×１０ｃｍ,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24807,0,700250000,間接撮影用フィルム（７×７）,6.0,1.0,枚,1.0,22.0,1.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,,0.0,フィルム・間接撮影用フィルム・７ｃｍ×７ｃｍ,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24808,0,700260000,間接撮影用フィルム（６×６）,6.0,1.0,枚,1.0,15.0,1.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,,0.0,フィルム・間接撮影用フィルム・６ｃｍ×６ｃｍ,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24809,0,700270000,オデルカ用フィルム（１０×１０）,6.0,1.0,枚,1.0,33.0,1.0,0.0,0.0,1.0,33.0,0.0,0.0,0.0,,0.0,フィルム・オデルカ用フィルム・１０ｃｍ×１０ｃｍ,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24810,0,700280000,オデルカ用フィルム（７×７）,6.0,1.0,枚,1.0,22.0,1.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,,0.0,フィルム・オデルカ用フィルム・７ｃｍ×７ｃｍ,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24811,0,700290000,マンモグラフィー用フィルム（２４×３０）,6.0,1.0,枚,1.0,135.0,1.0,0.0,0.0,1.0,135.0,0.0,0.0,0.0,,0.0,フィルム・マンモグラフィー用フィルム・２４ｃｍ×３０ｃｍ,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24812,0,700300000,マンモグラフィー用フィルム（２４×３０）（２分割）,6.0,1.0,枚,1.0,135.0,1.0,0.0,0.0,1.0,135.0,0.0,0.0,0.0,,0.0,フィルム・マンモグラフィー用フィルム・２４ｃｍ×３０ｃｍ（２分割）,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24813,0,700310000,マンモグラフィー用フィルム（２０．３×２５．４）,6.0,1.0,枚,1.0,135.0,1.0,0.0,0.0,1.0,135.0,0.0,0.0,0.0,,0.0,フィルム・マンモグラフィー用フィルム・２０．３ｃｍ×２５．４ｃｍ,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24814,0,700320000,マンモグラフィー用フィルム（２０．３×２５．４）（２分割）,6.0,1.0,枚,1.0,135.0,1.0,0.0,0.0,1.0,135.0,0.0,0.0,0.0,,0.0,フィルム・マンモグラフィー用フィルム・２０．３ｃｍ×２５．４ｃｍ（２分割）,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24815,0,700330000,マンモグラフィー用フィルム（１８×２４）,6.0,1.0,枚,1.0,121.0,1.0,0.0,0.0,1.0,125.0,0.0,0.0,0.0,,0.0,フィルム・マンモグラフィー用フィルム・１８ｃｍ×２４ｃｍ,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24816,0,700340000,マンモグラフィー用フィルム（１８×２４）（２分割）,6.0,1.0,枚,1.0,121.0,1.0,0.0,0.0,1.0,125.0,0.0,0.0,0.0,,0.0,フィルム・マンモグラフィー用フィルム・１８ｃｍ×２４ｃｍ（２分割）,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24817,0,700350000,マンモグラフィー用フィルム（１８×２４）（４分割）,6.0,1.0,枚,1.0,121.0,1.0,0.0,0.0,1.0,125.0,0.0,0.0,0.0,,0.0,フィルム・マンモグラフィー用フィルム・１８ｃｍ×２４ｃｍ（４分割）,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24818,0,700590000,内視鏡検査用フィルム,6.0,1.0,枚,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,内視鏡検査用フィルム,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24819,0,700600000,眼科学的検査用フィルム,6.0,1.0,枚,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,眼科学的検査用フィルム,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24820,0,700630000,フィルム（３０×３５）,6.0,1.0,枚,1.0,87.0,1.0,0.0,0.0,1.0,87.0,0.0,0.0,0.0,,0.0,フィルム・３０ｃｍ×３５ｃｍ,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24821,0,700640000,フィルム（２４×３０）,6.0,1.0,枚,1.0,68.0,1.0,0.0,0.0,1.0,68.0,0.0,0.0,0.0,,0.0,フィルム・２４ｃｍ×３０ｃｍ,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24822,0,700650000,フィルム（１８×２４）,6.0,1.0,枚,1.0,46.0,1.0,0.0,0.0,1.0,46.0,0.0,0.0,0.0,,0.0,フィルム・１８ｃｍ×２４ｃｍ,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24823,0,700680000,小児型（２．４×３）,6.0,1.0,枚,1.0,23.0,1.0,0.0,0.0,1.0,23.0,0.0,0.0,0.0,,0.0,フィルム・小児型・２．４ｃｍ×３ｃｍ,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24824,0,700710000,画像記録用フィルム（半切）,6.0,1.0,枚,1.0,226.0,1.0,0.0,0.0,1.0,226.0,0.0,0.0,0.0,,0.0,フィルム・画像記録用フィルム・半切,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24825,0,700720000,画像記録用フィルム（半切）（２分割）,6.0,1.0,枚,1.0,226.0,1.0,0.0,0.0,1.0,226.0,0.0,0.0,0.0,,0.0,フィルム・画像記録用フィルム・半切（２分割）,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24826,0,700730000,画像記録用フィルム（大角）,6.0,1.0,枚,1.0,188.0,1.0,0.0,0.0,1.0,188.0,0.0,0.0,0.0,,0.0,フィルム・画像記録用フィルム・大角,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24827,0,700740000,画像記録用フィルム（大角）（２分割）,6.0,1.0,枚,1.0,188.0,1.0,0.0,0.0,1.0,188.0,0.0,0.0,0.0,,0.0,フィルム・画像記録用フィルム・大角（２分割）,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24828,0,700750000,画像記録用フィルム（大四ツ切）,6.0,1.0,枚,1.0,186.0,1.0,0.0,0.0,1.0,187.0,0.0,0.0,0.0,,0.0,フィルム・画像記録用フィルム・大四ツ切,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24829,0,700760000,画像記録用フィルム（大四ツ切）（２分割）,6.0,1.0,枚,1.0,186.0,1.0,0.0,0.0,1.0,187.0,0.0,0.0,0.0,,0.0,フィルム・画像記録用フィルム・大四ツ切（２分割）,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24830,0,700770000,画像記録用フィルム（大四ツ切）（４分割）,6.0,1.0,枚,1.0,186.0,1.0,0.0,0.0,1.0,187.0,0.0,0.0,0.0,,0.0,フィルム・画像記録用フィルム・大四ツ切（４分割）,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24831,0,700780000,画像記録用フィルム（Ｂ４）,6.0,1.0,枚,1.0,149.0,1.0,0.0,0.0,1.0,150.0,0.0,0.0,0.0,,0.0,フィルム・画像記録用フィルム・Ｂ４,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24832,0,700790000,画像記録用フィルム（Ｂ４）（２分割）,6.0,1.0,枚,1.0,149.0,1.0,0.0,0.0,1.0,150.0,0.0,0.0,0.0,,0.0,フィルム・画像記録用フィルム・Ｂ４（２分割）,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24833,0,700800000,画像記録用フィルム（Ｂ４）（４分割）,6.0,1.0,枚,1.0,149.0,1.0,0.0,0.0,1.0,150.0,0.0,0.0,0.0,,0.0,フィルム・画像記録用フィルム・Ｂ４（４分割）,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24834,0,700810000,画像記録用フィルム（四ツ切）,6.0,1.0,枚,1.0,135.0,1.0,0.0,0.0,1.0,135.0,0.0,0.0,0.0,,0.0,フィルム・画像記録用フィルム・四ツ切,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24835,0,700820000,画像記録用フィルム（四ツ切）（２分割）,6.0,1.0,枚,1.0,135.0,1.0,0.0,0.0,1.0,135.0,0.0,0.0,0.0,,0.0,フィルム・画像記録用フィルム・四ツ切（２分割）,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24836,0,700830000,画像記録用フィルム（四ツ切）（４分割）,6.0,1.0,枚,1.0,135.0,1.0,0.0,0.0,1.0,135.0,0.0,0.0,0.0,,0.0,フィルム・画像記録用フィルム・四ツ切（４分割）,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24837,0,700840000,画像記録用フィルム（六ツ切）,6.0,1.0,枚,1.0,115.0,1.0,0.0,0.0,1.0,119.0,0.0,0.0,0.0,,0.0,フィルム・画像記録用フィルム・六ツ切,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24838,0,700850000,画像記録用フィルム（六ツ切）（２分割）,6.0,1.0,枚,1.0,115.0,1.0,0.0,0.0,1.0,119.0,0.0,0.0,0.0,,0.0,フィルム・画像記録用フィルム・六ツ切（２分割）,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24839,0,700860000,画像記録用フィルム（六ツ切）（４分割）,6.0,1.0,枚,1.0,115.0,1.0,0.0,0.0,1.0,119.0,0.0,0.0,0.0,,0.0,フィルム・画像記録用フィルム・六ツ切（４分割）,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24840,0,700870000,画像記録用フィルム（２４×３０）,6.0,1.0,枚,1.0,145.0,1.0,0.0,0.0,1.0,145.0,0.0,0.0,0.0,,0.0,フィルム・画像記録用フィルム・２４ｃｍ×３０ｃｍ,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24841,0,700880000,画像記録用フィルム（２４×３０）（２分割）,6.0,1.0,枚,1.0,145.0,1.0,0.0,0.0,1.0,145.0,0.0,0.0,0.0,,0.0,フィルム・画像記録用フィルム・２４ｃｍ×３０ｃｍ（２分割）,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24842,0,700890000,画像記録用フィルム（２４×３０）（４分割）,6.0,1.0,枚,1.0,145.0,1.0,0.0,0.0,1.0,145.0,0.0,0.0,0.0,,0.0,フィルム・画像記録用フィルム・２４ｃｍ×３０ｃｍ（４分割）,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24843,0,705040000,ダイレーター,0.0,0.0,,1.0,2490.0,0.0,0.0,0.0,1.0,2490.0,0.0,0.0,0.0,,0.0,ダイレーター,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24844,0,710010001,血管造影用シースイントロデューサーセット（選択的導入用）,0.0,0.0,,1.0,13600.0,0.0,0.0,0.0,1.0,13900.0,0.0,0.0,0.0,,0.0,血管造影用シースイントロデューサーセット・選択的導入用（ガイディングカテーテルを兼ねるもの）,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
12705,9,710010002,プラスチックカニューレ型静脈内留置針（標準型）,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,91.0,0.0,0.0,0.0,20200331,0.0,プラスチックカニューレ型静脈内留置針・標準型,2020-04-01,2020-05-01,2020-05-02,t20200305.csv,1.0
12706,9,710010003,プラスチックカニューレ型静脈内留置針（針刺し事故防止機構付加型）,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,96.0,0.0,0.0,0.0,20200331,0.0,プラスチックカニューレ型静脈内留置針・針刺し事故防止機構付加型,2020-04-01,2020-05-01,2020-05-02,t20200305.csv,1.0
24845,0,710010004,中心静脈用カテーテル（標準・シングルルーメン）,0.0,0.0,,1.0,1790.0,0.0,0.0,0.0,1.0,1790.0,0.0,0.0,0.0,,0.0,中心静脈用カテーテル・標準型・シングルルーメン,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
7579,9,710010005,中心静脈用カテーテル（標準・シングルルーメン・セルジンガー型）,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1930.0,0.0,0.0,0.0,20180331,0.0,中心静脈用カテーテル・標準型・シングルルーメン・セルジンガー型,2018-04-01,2018-05-01,2018-05-02,t20180305.csv,1.0
24846,0,710010006,ヘモダイアフィルター,0.0,0.0,,1.0,2630.0,0.0,0.0,0.0,1.0,2630.0,0.0,0.0,0.0,,1.0,人工腎臓用特定保険医療材料（回路を含む。）・ヘモダイアフィルター,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
24847,0,710010007,固定用内副子用ワッシャー,0.0,0.0,,1.0,2970.0,0.0,0.0,0.0,1.0,2970.0,0.0,0.0,0.0,,0.0,固定用内副子用ワッシャー,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
5018,9,710010008,固定用内副子用ワッシャー（２）,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1380.0,0.0,0.0,0.0,20160331,0.0,固定用内副子用ワッシャー（２）,2016-04-01,2016-05-01,2016-05-02,t_ALL20160304.csv,1.0
24848,0,710010009,脊椎スクリュー（固定型）,0.0,0.0,,1.0,63100.0,0.0,0.0,0.0,1.0,63100.0,0.0,0.0,0.0,,0.0,脊椎固定用材料・脊椎スクリュー（固定型）,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
