,c0,c2,c4,c9,c10,c13,c14,c15,c16,c31,c89,c90,c91,c92,c93,c94,ymd,next_month_day1,next_month_day2,filename,dt_rank_neg
121592,0,180059410,精訪看（１）（精神保健福祉士・週４日目以降３０分以上）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,12,0,1,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
121593,0,180059510,精訪看（１）（精神保健福祉士・週４日目以降３０分未満）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,12,0,1,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
121594,0,180059610,精訪看（３）（作業療法士・日２人・週３日目まで３０分以上）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,12,0,3,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
121595,0,180059710,精訪看（３）（作業療法士・日２人・週３日目まで３０分未満）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,12,0,3,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
121596,0,180059810,精訪看（３）（作業療法士・日２人・週４日目以降３０分以上）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,12,0,3,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
121597,0,180059910,精訪看（３）（作業療法士・日２人・週４日目以降３０分未満）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,12,0,3,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
121598,0,180060010,精訪看（３）（作業療法士・日３人～・週３日目まで３０分以上）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,12,0,3,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
121599,0,180060110,精訪看（３）（作業療法士・日３人～・週３日目まで３０分未満）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,12,0,3,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
121600,0,180060210,精訪看（３）（作業療法士・日３人～・週４日目以降３０分以上）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,12,0,3,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
121601,0,180060310,精訪看（３）（作業療法士・日３人～・週４日目以降３０分未満）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,12,0,3,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
121602,0,180060410,精訪看（３）（精神保健福祉士・日２人・週３日目まで３０分以上）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,12,0,3,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
121603,0,180060510,精訪看（３）（精神保健福祉士・日２人・週３日目まで３０分未満）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,12,0,3,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
121604,0,180060610,精訪看（３）（精神保健福祉士・日２人・週４日目以降３０分以上）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,12,0,3,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
121605,0,180060710,精訪看（３）（精神保健福祉士・日２人・週４日目以降３０分未満）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,12,0,3,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
121606,0,180060810,精訪看（３）（精神保健福祉士・日３人～・週３日目まで３０分以上）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,12,0,3,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
121607,0,180060910,精訪看（３）（精神保健福祉士・日３人～・週３日目まで３０分未満）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,12,0,3,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
121608,0,180061010,精訪看（３）（精神保健福祉士・日３人～・週４日目以降３０分以上）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,12,0,3,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
121609,0,180061110,精訪看（３）（精神保健福祉士・日３人～・週４日目以降３０分未満）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,12,0,3,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
121610,0,180061270,複数名精神科訪問看護・指導加算（イ・日１回・同建物１人又２人）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,12,0,4,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
92114,9,180061370,複数名精神科訪問看護・指導加算（イ・日１回・同一建物内２人）,,3.0,,,,,,2,8,12,0,4,0,2022-04-01,2022-05-01,2022-05-02,s_20220331.csv,1.0
121611,0,180061470,複数名精神科訪問看護・指導加算（イ・日１回・同一建物内３人～）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,12,0,4,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
121612,0,180061570,複数名精神科訪問看護・指導加算（イ・日２回・同建物１人又２人）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,12,0,4,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
92116,9,180061670,複数名精神科訪問看護・指導加算（イ・日２回・同一建物内２人）,,3.0,,,,,,2,8,12,0,4,0,2022-04-01,2022-05-01,2022-05-02,s_20220331.csv,1.0
121613,0,180061770,複数名精神科訪問看護・指導加算（イ・日２回・同一建物内３人～）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,12,0,4,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
121614,0,180061870,複数名精神科訪問看護・指導加算（イ・日３回～・同建物１人又２人）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,12,0,4,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
92118,9,180061970,複数名精神科訪問看護・指導加算（イ・日３回～・同一建物内２人）,,3.0,,,,,,2,8,12,0,4,0,2022-04-01,2022-05-01,2022-05-02,s_20220331.csv,1.0
121615,0,180062070,複数名精神科訪問看護・指導加算（イ・日３回～・同一建物内３人～）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,12,0,4,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
121616,0,180062170,複数名精神科訪問看護・指導加算（ロ・日１回・同建物１人又２人）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,12,0,4,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
92120,9,180062270,複数名精神科訪問看護・指導加算（ロ・日１回・同一建物内２人）,,3.0,,,,,,2,8,12,0,4,0,2022-04-01,2022-05-01,2022-05-02,s_20220331.csv,1.0
121617,0,180062370,複数名精神科訪問看護・指導加算（ロ・日１回・同一建物内３人～）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,12,0,4,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
