,c0,c2,t1,t2,pointlab,point,ymd,tag,ind
1206,0,700090000,2012-05-02,2014-05-02,1.0,64.0,2012-04-01,ws,1
3663,0,700090000,2014-05-02,2016-05-02,1.0,65.0,2014-04-01,ws,1
6261,0,700090000,2016-05-02,2018-05-02,1.0,64.0,2016-04-01,ws,1
8892,0,700090000,2018-05-02,2019-11-02,1.0,63.0,2018-04-01,ws,1
11402,0,700090000,2019-11-02,2020-05-02,1.0,64.0,2019-10-01,ws,1
14038,0,700090000,2020-05-02,2022-05-02,1.0,62.0,2020-04-01,ws,1
20704,0,700090000,2022-05-02,2024-07-02,1.0,62.0,2022-04-01,ws,1
24792,0,700090000,2024-07-02,2025-06-30,1.0,62.0,2024-06-01,ws,1
9,0,700100000,2010-01-01,2012-05-02,1.0,64.0,2012-04-01,bdm,0
1207,0,700100000,2012-05-02,2014-05-02,1.0,64.0,2012-04-01,ws,1
3664,0,700100000,2014-05-02,2016-05-02,1.0,65.0,2014-04-01,ws,1
6262,0,700100000,2016-05-02,2018-05-02,1.0,64.0,2016-04-01,ws,1
8893,0,700100000,2018-05-02,2019-11-02,1.0,63.0,2018-04-01,ws,1
11403,0,700100000,2019-11-02,2020-05-02,1.0,64.0,2019-10-01,ws,1
14039,0,700100000,2020-05-02,2022-05-02,1.0,62.0,2020-04-01,ws,1
20705,0,700100000,2022-05-02,2024-07-02,1.0,62.0,2022-04-01,ws,1
24793,0,700100000,2024-07-02,2025-06-30,1.0,62.0,2024-06-01,ws,1
10,0,700110000,2010-01-01,2012-05-02,1.0,52.0,2012-04-01,bdm,0
1208,0,700110000,2012-05-02,2014-05-02,1.0,52.0,2012-04-01,ws,1
3665,0,700110000,2014-05-02,2016-05-02,1.0,53.0,2014-04-01,ws,1
6263,0,700110000,2016-05-02,2018-05-02,1.0,51.0,2016-04-01,ws,1
8894,0,700110000,2018-05-02,2019-11-02,1.0,51.0,2018-04-01,ws,1
11404,0,700110000,2019-11-02,2020-05-02,1.0,52.0,2019-10-01,ws,1
14040,0,700110000,2020-05-02,2022-05-02,1.0,48.0,2020-04-01,ws,1
20706,0,700110000,2022-05-02,2024-07-02,1.0,48.0,2022-04-01,ws,1
24794,0,700110000,2024-07-02,2025-06-30,1.0,48.0,2024-06-01,ws,1
11,0,700120000,2010-01-01,2012-05-02,1.0,52.0,2012-04-01,bdm,0
1209,0,700120000,2012-05-02,2014-05-02,1.0,52.0,2012-04-01,ws,1
3666,0,700120000,2014-05-02,2016-05-02,1.0,53.0,2014-04-01,ws,1
6264,0,700120000,2016-05-02,2018-05-02,1.0,51.0,2016-04-01,ws,1
8895,0,700120000,2018-05-02,2019-11-02,1.0,51.0,2018-04-01,ws,1
11405,0,700120000,2019-11-02,2020-05-02,1.0,52.0,2019-10-01,ws,1
14041,0,700120000,2020-05-02,2022-05-02,1.0,48.0,2020-04-01,ws,1
20707,0,700120000,2022-05-02,2024-07-02,1.0,48.0,2022-04-01,ws,1
24795,0,700120000,2024-07-02,2025-06-30,1.0,48.0,2024-06-01,ws,1
12,0,700130000,2010-01-01,2012-05-02,1.0,52.0,2012-04-01,bdm,0
1210,0,700130000,2012-05-02,2014-05-02,1.0,52.0,2012-04-01,ws,1
3667,0,700130000,2014-05-02,2016-05-02,1.0,53.0,2014-04-01,ws,1
6265,0,700130000,2016-05-02,2018-05-02,1.0,51.0,2016-04-01,ws,1
8896,0,700130000,2018-05-02,2019-11-02,1.0,51.0,2018-04-01,ws,1
11406,0,700130000,2019-11-02,2020-05-02,1.0,52.0,2019-10-01,ws,1
14042,0,700130000,2020-05-02,2022-05-02,1.0,48.0,2020-04-01,ws,1
20708,0,700130000,2022-05-02,2024-07-02,1.0,48.0,2022-04-01,ws,1
24796,0,700130000,2024-07-02,2025-06-30,1.0,48.0,2024-06-01,ws,1
13,5,700140000,2010-01-01,2012-05-02,1.0,47.0,2012-04-01,bdm,0
1211,0,700140000,2012-05-02,2014-05-02,1.0,47.0,2012-04-01,ws,1
3668,0,700140000,2014-05-02,2016-05-02,1.0,48.0,2014-04-01,ws,1
6266,0,700140000,2016-05-02,2018-05-02,1.0,48.0,2016-04-01,ws,1
8897,0,700140000,2018-05-02,2019-11-02,1.0,48.0,2018-04-01,ws,1
11407,0,700140000,2019-11-02,2020-05-02,1.0,49.0,2019-10-01,ws,1
14043,0,700140000,2020-05-02,2022-05-02,1.0,46.0,2020-04-01,ws,1
20709,0,700140000,2022-05-02,2024-07-02,1.0,46.0,2022-04-01,ws,1
24797,0,700140000,2024-07-02,2025-06-30,1.0,46.0,2024-06-01,ws,1
14,5,700150000,2010-01-01,2012-05-02,1.0,47.0,2012-04-01,bdm,0
1212,0,700150000,2012-05-02,2014-05-02,1.0,47.0,2012-04-01,ws,1
3669,0,700150000,2014-05-02,2016-05-02,1.0,48.0,2014-04-01,ws,1
6267,0,700150000,2016-05-02,2018-05-02,1.0,48.0,2016-04-01,ws,1
8898,0,700150000,2018-05-02,2019-11-02,1.0,48.0,2018-04-01,ws,1
11408,0,700150000,2019-11-02,2020-05-02,1.0,49.0,2019-10-01,ws,1
14044,0,700150000,2020-05-02,2022-05-02,1.0,46.0,2020-04-01,ws,1
20710,0,700150000,2022-05-02,2024-07-02,1.0,46.0,2022-04-01,ws,1
24798,0,700150000,2024-07-02,2025-06-30,1.0,46.0,2024-06-01,ws,1
15,5,700160000,2010-01-01,2012-05-02,1.0,41.0,2012-04-01,bdm,0
1213,0,700160000,2012-05-02,2014-05-02,1.0,41.0,2012-04-01,ws,1
3670,0,700160000,2014-05-02,2016-05-02,1.0,42.0,2014-04-01,ws,1
6268,0,700160000,2016-05-02,2018-05-02,1.0,37.0,2016-04-01,ws,1
8899,0,700160000,2018-05-02,2019-11-02,1.0,37.0,2018-04-01,ws,1
11409,0,700160000,2019-11-02,2020-05-02,1.0,38.0,2019-10-01,ws,1
14045,0,700160000,2020-05-02,2022-05-02,1.0,38.0,2020-04-01,ws,1
20711,0,700160000,2022-05-02,2024-07-02,1.0,38.0,2022-04-01,ws,1
24799,0,700160000,2024-07-02,2025-06-30,1.0,38.0,2024-06-01,ws,1
16,0,700180000,2010-01-01,2012-05-02,1.0,28.0,2012-04-01,bdm,0
1214,0,700180000,2012-05-02,2014-05-02,1.0,28.0,2012-04-01,ws,1
3671,0,700180000,2014-05-02,2016-05-02,1.0,28.0,2014-04-01,ws,1
6269,0,700180000,2016-05-02,2018-05-02,1.0,28.0,2016-04-01,ws,1
8900,0,700180000,2018-05-02,2019-11-02,1.0,28.0,2018-04-01,ws,1
11410,0,700180000,2019-11-02,2020-05-02,1.0,29.0,2019-10-01,ws,1
14046,0,700180000,2020-05-02,2022-05-02,1.0,29.0,2020-04-01,ws,1
20712,0,700180000,2022-05-02,2024-07-02,1.0,29.0,2022-04-01,ws,1
24800,0,700180000,2024-07-02,2025-06-30,1.0,29.0,2024-06-01,ws,1
17,0,700190000,2010-01-01,2012-05-02,1.0,38.0,2012-04-01,bdm,0
1215,0,700190000,2012-05-02,2014-05-02,1.0,38.0,2012-04-01,ws,1
3672,0,700190000,2014-05-02,2016-05-02,1.0,39.0,2014-04-01,ws,1
6270,0,700190000,2016-05-02,2018-05-02,1.0,36.0,2016-04-01,ws,1
8901,0,700190000,2018-05-02,2019-11-02,1.0,36.0,2018-04-01,ws,1
11411,0,700190000,2019-11-02,2020-05-02,1.0,37.0,2019-10-01,ws,1
14047,0,700190000,2020-05-02,2022-05-02,1.0,27.0,2020-04-01,ws,1
20713,0,700190000,2022-05-02,2024-07-02,1.0,27.0,2022-04-01,ws,1
24801,0,700190000,2024-07-02,2025-06-30,1.0,27.0,2024-06-01,ws,1
18,0,700200000,2010-01-01,2012-05-02,1.0,38.0,2012-04-01,bdm,0
1216,0,700200000,2012-05-02,2014-05-02,1.0,38.0,2012-04-01,ws,1
3673,0,700200000,2014-05-02,2016-05-02,1.0,39.0,2014-04-01,ws,1
6271,0,700200000,2016-05-02,2018-05-02,1.0,39.0,2016-04-01,ws,1
8902,0,700200000,2018-05-02,2019-11-02,1.0,39.0,2018-04-01,ws,1
11412,0,700200000,2019-11-02,2020-05-02,1.0,40.0,2019-10-01,ws,1
14048,0,700200000,2020-05-02,2022-05-02,1.0,40.0,2020-04-01,ws,1
20714,0,700200000,2022-05-02,2024-07-02,1.0,40.0,2022-04-01,ws,1
24802,0,700200000,2024-07-02,2025-06-30,1.0,40.0,2024-06-01,ws,1
19,0,700210000,2010-01-01,2012-05-02,1.0,99.0,2012-04-01,bdm,0
1217,0,700210000,2012-05-02,2014-05-02,1.0,99.0,2012-04-01,ws,1
3674,0,700210000,2014-05-02,2016-05-02,1.0,101.0,2014-04-01,ws,1
6272,0,700210000,2016-05-02,2018-05-02,1.0,101.0,2016-04-01,ws,1
8903,0,700210000,2018-05-02,2019-11-02,1.0,101.0,2018-04-01,ws,1
11413,0,700210000,2019-11-02,2020-05-02,1.0,103.0,2019-10-01,ws,1
14049,0,700210000,2020-05-02,2022-05-02,1.0,103.0,2020-04-01,ws,1
20715,0,700210000,2022-05-02,2024-07-02,1.0,103.0,2022-04-01,ws,1
24803,0,700210000,2024-07-02,2025-06-30,1.0,103.0,2024-06-01,ws,1
20,0,700220000,2010-01-01,2012-05-02,1.0,115.0,2012-04-01,bdm,0
1218,0,700220000,2012-05-02,2014-05-02,1.0,115.0,2012-04-01,ws,1
3675,0,700220000,2014-05-02,2016-05-02,1.0,118.0,2014-04-01,ws,1
6273,0,700220000,2016-05-02,2018-05-02,1.0,118.0,2016-04-01,ws,1
8904,0,700220000,2018-05-02,2019-11-02,1.0,118.0,2018-04-01,ws,1
11414,0,700220000,2019-11-02,2020-05-02,1.0,120.0,2019-10-01,ws,1
14050,0,700220000,2020-05-02,2022-05-02,1.0,120.0,2020-04-01,ws,1
20716,0,700220000,2022-05-02,2024-07-02,1.0,120.0,2022-04-01,ws,1
24804,0,700220000,2024-07-02,2025-06-30,1.0,120.0,2024-06-01,ws,1
21,0,700230000,2010-01-01,2012-05-02,1.0,30.0,2012-04-01,bdm,0
1219,0,700230000,2012-05-02,2014-05-02,1.0,30.0,2012-04-01,ws,1
3676,0,700230000,2014-05-02,2016-05-02,1.0,30.0,2014-04-01,ws,1
6274,0,700230000,2016-05-02,2018-05-02,1.0,30.0,2016-04-01,ws,1
8905,0,700230000,2018-05-02,2019-11-02,1.0,30.0,2018-04-01,ws,1
11415,0,700230000,2019-11-02,2020-05-02,1.0,31.0,2019-10-01,ws,1
14051,0,700230000,2020-05-02,2022-05-02,1.0,31.0,2020-04-01,ws,1
20717,0,700230000,2022-05-02,2024-07-02,1.0,31.0,2022-04-01,ws,1
24805,0,700230000,2024-07-02,2025-06-30,1.0,31.0,2024-06-01,ws,1
22,5,700240000,2010-01-01,2012-05-02,1.0,29.0,2012-04-01,bdm,0
1220,0,700240000,2012-05-02,2014-05-02,1.0,29.0,2012-04-01,ws,1
3677,0,700240000,2014-05-02,2016-05-02,1.0,28.0,2014-04-01,ws,1
6275,0,700240000,2016-05-02,2018-05-02,1.0,28.0,2016-04-01,ws,1
8906,0,700240000,2018-05-02,2019-11-02,1.0,28.0,2018-04-01,ws,1
11416,0,700240000,2019-11-02,2020-05-02,1.0,29.0,2019-10-01,ws,1
14052,0,700240000,2020-05-02,2022-05-02,1.0,29.0,2020-04-01,ws,1
20718,0,700240000,2022-05-02,2024-07-02,1.0,29.0,2022-04-01,ws,1
24806,0,700240000,2024-07-02,2025-06-30,1.0,29.0,2024-06-01,ws,1
23,0,700250000,2010-01-01,2012-05-02,1.0,22.0,2012-04-01,bdm,0
1221,0,700250000,2012-05-02,2014-05-02,1.0,22.0,2012-04-01,ws,1
3678,0,700250000,2014-05-02,2016-05-02,1.0,22.0,2014-04-01,ws,1
6276,0,700250000,2016-05-02,2018-05-02,1.0,22.0,2016-04-01,ws,1
8907,0,700250000,2018-05-02,2019-11-02,1.0,22.0,2018-04-01,ws,1
11417,0,700250000,2019-11-02,2020-05-02,1.0,22.0,2019-10-01,ws,1
14053,0,700250000,2020-05-02,2022-05-02,1.0,22.0,2020-04-01,ws,1
20719,0,700250000,2022-05-02,2024-07-02,1.0,22.0,2022-04-01,ws,1
24807,0,700250000,2024-07-02,2025-06-30,1.0,22.0,2024-06-01,ws,1
24,0,700260000,2010-01-01,2012-05-02,1.0,15.0,2012-04-01,bdm,0
1222,0,700260000,2012-05-02,2014-05-02,1.0,15.0,2012-04-01,ws,1
3679,0,700260000,2014-05-02,2016-05-02,1.0,15.0,2014-04-01,ws,1
6277,0,700260000,2016-05-02,2018-05-02,1.0,15.0,2016-04-01,ws,1
8908,0,700260000,2018-05-02,2019-11-02,1.0,15.0,2018-04-01,ws,1
11418,0,700260000,2019-11-02,2020-05-02,1.0,15.0,2019-10-01,ws,1
14054,0,700260000,2020-05-02,2022-05-02,1.0,15.0,2020-04-01,ws,1
20720,0,700260000,2022-05-02,2024-07-02,1.0,15.0,2022-04-01,ws,1
24808,0,700260000,2024-07-02,2025-06-30,1.0,15.0,2024-06-01,ws,1
25,0,700270000,2010-01-01,2012-05-02,1.0,32.0,2012-04-01,bdm,0
1223,0,700270000,2012-05-02,2014-05-02,1.0,32.0,2012-04-01,ws,1
3680,0,700270000,2014-05-02,2016-05-02,1.0,32.0,2014-04-01,ws,1
6278,0,700270000,2016-05-02,2018-05-02,1.0,32.0,2016-04-01,ws,1
8909,0,700270000,2018-05-02,2019-11-02,1.0,32.0,2018-04-01,ws,1
11419,0,700270000,2019-11-02,2020-05-02,1.0,33.0,2019-10-01,ws,1
14055,0,700270000,2020-05-02,2022-05-02,1.0,33.0,2020-04-01,ws,1
20721,0,700270000,2022-05-02,2024-07-02,1.0,33.0,2022-04-01,ws,1
24809,0,700270000,2024-07-02,2025-06-30,1.0,33.0,2024-06-01,ws,1
26,0,700280000,2010-01-01,2012-05-02,1.0,22.0,2012-04-01,bdm,0
1224,0,700280000,2012-05-02,2014-05-02,1.0,22.0,2012-04-01,ws,1
3681,0,700280000,2014-05-02,2016-05-02,1.0,22.0,2014-04-01,ws,1
6279,0,700280000,2016-05-02,2018-05-02,1.0,22.0,2016-04-01,ws,1
8910,0,700280000,2018-05-02,2019-11-02,1.0,22.0,2018-04-01,ws,1
11420,0,700280000,2019-11-02,2020-05-02,1.0,22.0,2019-10-01,ws,1
14056,0,700280000,2020-05-02,2022-05-02,1.0,22.0,2020-04-01,ws,1
20722,0,700280000,2022-05-02,2024-07-02,1.0,22.0,2022-04-01,ws,1
24810,0,700280000,2024-07-02,2025-06-30,1.0,22.0,2024-06-01,ws,1
27,5,700290000,2010-01-01,2012-05-02,1.0,130.0,2012-04-01,bdm,0
1225,0,700290000,2012-05-02,2014-05-02,1.0,130.0,2012-04-01,ws,1
3682,0,700290000,2014-05-02,2016-05-02,1.0,133.0,2014-04-01,ws,1
6280,0,700290000,2016-05-02,2018-05-02,1.0,133.0,2016-04-01,ws,1
8911,0,700290000,2018-05-02,2019-11-02,1.0,133.0,2018-04-01,ws,1
11421,0,700290000,2019-11-02,2020-05-02,1.0,135.0,2019-10-01,ws,1
14057,0,700290000,2020-05-02,2022-05-02,1.0,135.0,2020-04-01,ws,1
20723,0,700290000,2022-05-02,2024-07-02,1.0,135.0,2022-04-01,ws,1
24811,0,700290000,2024-07-02,2025-06-30,1.0,135.0,2024-06-01,ws,1
28,5,700300000,2010-01-01,2012-05-02,1.0,130.0,2012-04-01,bdm,0
1226,0,700300000,2012-05-02,2014-05-02,1.0,130.0,2012-04-01,ws,1
3683,0,700300000,2014-05-02,2016-05-02,1.0,133.0,2014-04-01,ws,1
6281,0,700300000,2016-05-02,2018-05-02,1.0,133.0,2016-04-01,ws,1
8912,0,700300000,2018-05-02,2019-11-02,1.0,133.0,2018-04-01,ws,1
11422,0,700300000,2019-11-02,2020-05-02,1.0,135.0,2019-10-01,ws,1
14058,0,700300000,2020-05-02,2022-05-02,1.0,135.0,2020-04-01,ws,1
20724,0,700300000,2022-05-02,2024-07-02,1.0,135.0,2022-04-01,ws,1
24812,0,700300000,2024-07-02,2025-06-30,1.0,135.0,2024-06-01,ws,1
29,0,700310000,2010-01-01,2012-05-02,1.0,130.0,2012-04-01,bdm,0
1227,0,700310000,2012-05-02,2014-05-02,1.0,130.0,2012-04-01,ws,1
3684,0,700310000,2014-05-02,2016-05-02,1.0,133.0,2014-04-01,ws,1
6282,0,700310000,2016-05-02,2018-05-02,1.0,133.0,2016-04-01,ws,1
8913,0,700310000,2018-05-02,2019-11-02,1.0,133.0,2018-04-01,ws,1
11423,0,700310000,2019-11-02,2020-05-02,1.0,135.0,2019-10-01,ws,1
14059,0,700310000,2020-05-02,2022-05-02,1.0,135.0,2020-04-01,ws,1
20725,0,700310000,2022-05-02,2024-07-02,1.0,135.0,2022-04-01,ws,1
24813,0,700310000,2024-07-02,2025-06-30,1.0,135.0,2024-06-01,ws,1
30,0,700320000,2010-01-01,2012-05-02,1.0,130.0,2012-04-01,bdm,0
1228,0,700320000,2012-05-02,2014-05-02,1.0,130.0,2012-04-01,ws,1
3685,0,700320000,2014-05-02,2016-05-02,1.0,133.0,2014-04-01,ws,1
6283,0,700320000,2016-05-02,2018-05-02,1.0,133.0,2016-04-01,ws,1
8914,0,700320000,2018-05-02,2019-11-02,1.0,133.0,2018-04-01,ws,1
11424,0,700320000,2019-11-02,2020-05-02,1.0,135.0,2019-10-01,ws,1
14060,0,700320000,2020-05-02,2022-05-02,1.0,135.0,2020-04-01,ws,1
20726,0,700320000,2022-05-02,2024-07-02,1.0,135.0,2022-04-01,ws,1
24814,0,700320000,2024-07-02,2025-06-30,1.0,135.0,2024-06-01,ws,1
31,0,700330000,2010-01-01,2012-05-02,1.0,120.0,2012-04-01,bdm,0
1229,0,700330000,2012-05-02,2014-05-02,1.0,120.0,2012-04-01,ws,1
3686,0,700330000,2014-05-02,2016-05-02,1.0,123.0,2014-04-01,ws,1
6284,0,700330000,2016-05-02,2018-05-02,1.0,123.0,2016-04-01,ws,1
8915,0,700330000,2018-05-02,2019-11-02,1.0,123.0,2018-04-01,ws,1
11425,0,700330000,2019-11-02,2020-05-02,1.0,125.0,2019-10-01,ws,1
14061,0,700330000,2020-05-02,2022-05-02,1.0,125.0,2020-04-01,ws,1
20727,0,700330000,2022-05-02,2024-07-02,1.0,125.0,2022-04-01,ws,1
24815,0,700330000,2024-07-02,2025-06-30,1.0,121.0,2024-06-01,ws,1
32,0,700340000,2010-01-01,2012-05-02,1.0,120.0,2012-04-01,bdm,0
1230,0,700340000,2012-05-02,2014-05-02,1.0,120.0,2012-04-01,ws,1
3687,0,700340000,2014-05-02,2016-05-02,1.0,123.0,2014-04-01,ws,1
6285,0,700340000,2016-05-02,2018-05-02,1.0,123.0,2016-04-01,ws,1
8916,0,700340000,2018-05-02,2019-11-02,1.0,123.0,2018-04-01,ws,1
11426,0,700340000,2019-11-02,2020-05-02,1.0,125.0,2019-10-01,ws,1
14062,0,700340000,2020-05-02,2022-05-02,1.0,125.0,2020-04-01,ws,1
20728,0,700340000,2022-05-02,2024-07-02,1.0,125.0,2022-04-01,ws,1
24816,0,700340000,2024-07-02,2025-06-30,1.0,121.0,2024-06-01,ws,1
33,0,700350000,2010-01-01,2012-05-02,1.0,120.0,2012-04-01,bdm,0
1231,0,700350000,2012-05-02,2014-05-02,1.0,120.0,2012-04-01,ws,1
